Customer_ID,First_Name,Last_Name,Age_Group,Gender,Nationality,Customer_Segment
0,Michael,Chapman,18-25,Other,Guernsey,Budget
1,Elizabeth,Hardin,50+,Female,Angola,Premium
2,Marc,Ball,26-35,Female,Belarus,Budget
3,Michael,Maxwell,18-25,Male,Guam,Premium
4,Christina,Figueroa,36-50,Other,French Southern Territories,Standard
5,Ashley,Robinson,50+,Male,Guinea,Standard
6,Madison,Rodriguez,50+,Female,Algeria,Premium
7,Jessica,Rogers,18-25,Male,Colombia,Standard
8,Frank,Wheeler,50+,Male,Micronesia,Standard
9,Eduardo,Thompson,26-35,Male,Sierra Leone,Budget
10,Angela,Rodgers,18-25,Male,Vietnam,Budget
11,Scott,Williams,26-35,Female,French Southern Territories,Premium
12,Jamie,Cox,50+,Female,Grenada,Premium
13,Eric,Castillo,26-35,Male,Georgia,Budget
14,Kevin,Washington,36-50,Female,Lithuania,Budget
15,Audrey,Robinson,36-50,Other,Burundi,Premium
16,Allison,Gonzalez,18-25,Other,Netherlands Antilles,Premium
17,Mary,Torres,26-35,Other,Montenegro,Premium
18,Joseph,Kent,36-50,Male,Argentina,Standard
19,Timothy,Cross,26-35,Male,Hungary,Premium
20,Ronald,Bell,50+,Female,Burkina Faso,Standard
21,Darrell,Hood,18-25,Female,Ethiopia,Budget
22,Evan,Martin,26-35,Female,Lithuania,Standard
23,Cynthia,Gill,26-35,Female,Taiwan,Budget
24,Jeremy,Sexton,36-50,Female,Belarus,Standard
25,Cassandra,Morris,18-25,Female,Guinea-Bissau,Budget
26,Justin,Anderson,50+,Male,Comoros,Standard
27,Leah,Adams,36-50,Male,Haiti,Budget
28,Michelle,Baldwin,50+,Male,Mali,Budget
29,Antonio,Golden,36-50,Male,Japan,Premium
30,Jordan,Stewart,36-50,Other,South Africa,Budget
31,Brandon,Jones,50+,Male,Ecuador,Budget
32,Joshua,Smith,18-25,Other,Aruba,Budget
33,Catherine,Martin,36-50,Other,Benin,Budget
34,Theresa,Tanner,50+,Female,Liberia,Standard
35,Michelle,Silva,36-50,Male,Estonia,Budget
36,Kristina,Maddox,50+,Female,Antarctica (the territory South of 60 deg S),Budget
37,Kathryn,Dawson,26-35,Other,Finland,Premium
38,Kelly,Vaughn,50+,Female,Saint Barthelemy,Premium
39,David,Wilson,26-35,Other,Netherlands Antilles,Standard
40,Juan,Huerta,36-50,Female,Madagascar,Standard
41,Andrew,Thomas,50+,Other,Bermuda,Premium
42,Michelle,Brown,18-25,Male,British Virgin Islands,Standard
43,Holly,Brown,18-25,Male,Thailand,Premium
44,Troy,Pineda,50+,Female,Equatorial Guinea,Standard
45,Linda,Ryan,36-50,Male,French Southern Territories,Premium
46,Richard,Brown,50+,Other,Israel,Budget
47,Alan,Morris,50+,Male,Bhutan,Budget
48,Julie,Cole,26-35,Other,Guinea-Bissau,Budget
49,Julie,Fisher,36-50,Female,France,Budget
50,Tonya,Davis,36-50,Male,Bhutan,Budget
51,Jacob,Pham,50+,Female,Japan,Budget
52,Larry,Anderson,50+,Male,Zimbabwe,Premium
53,Leslie,Matthews,36-50,Other,Uganda,Standard
54,Thomas,Taylor,36-50,Other,United States Minor Outlying Islands,Budget
55,Courtney,Robinson,26-35,Female,Venezuela,Budget
56,Alex,Kennedy,26-35,Female,Nicaragua,Standard
57,Charles,Salazar,50+,Male,Ethiopia,Premium
58,Troy,Mayer,50+,Other,Czech Republic,Budget
59,Juan,Valdez,18-25,Other,Vanuatu,Premium
60,Peter,Ramirez,26-35,Male,Marshall Islands,Budget
61,Mark,Petersen,36-50,Female,Saint Kitts and Nevis,Budget
62,Kyle,Johnson,36-50,Male,Senegal,Standard
63,Brandon,Madden,26-35,Male,Brazil,Standard
64,Thomas,Chan,50+,Other,Uganda,Premium
65,Robert,Blankenship,50+,Male,Turks and Caicos Islands,Budget
66,Brandi,Smith,26-35,Male,China,Standard
67,Jeffrey,Moses,50+,Female,Cote d'Ivoire,Budget
68,Janice,Reed,50+,Female,Jordan,Premium
69,Kimberly,Martinez,36-50,Male,Rwanda,Premium
70,Victor,Woods,50+,Other,Australia,Premium
71,Susan,Gonzalez,26-35,Female,Slovenia,Standard
72,Darrell,Valdez,26-35,Male,Belize,Premium
73,Dana,Trevino,50+,Male,Mauritius,Standard
74,Patricia,Mcdowell,18-25,Male,Chad,Budget
75,Kelli,Rush,50+,Other,Syrian Arab Republic,Premium
